email,first_name,last_name,practice_name,city,state,phone,brs_score,pain_point
office@sanantoniodentistry.com,Amanda,Williams,"San Antonio Dentistry",San Antonio,TX,+15128986575,62,scheduling_complaints
office@fortworthdentalstudio.com,Christopher,Garcia,"Fort Worth Dental Studio",Fort Worth,TX,+18175082170,62,scheduling_complaints
office@planosmile.com,James,Brown,"Plano Smile",Plano,TX,+12105818379,61,scheduling_complaints
office@arlingtondental.com,Amanda,Wilson,"Arlington Dental",Arlington,TX,+12148712048,61,scheduling_complaints
office@dallasdentalcare.com,David,Chen,"Dallas Dental Care",Dallas,TX,+15122616084,61,scheduling_complaints
office@williamssmile.com,James,Williams,"Williams Smile",San Antonio,TX,+18177223105,61,general
office@browndentistry.com,Sarah,Brown,"Brown Dentistry",Plano,TX,+17133331879,61,scheduling_complaints
office@houstondentalcare.com,David,Brown,"Houston Dental Care",Houston,TX,+12107163655,61,scheduling_complaints
office@mckinneydental.com,Amanda,Miller,"McKinney Dental",McKinney,TX,+17132487865,61,scheduling_complaints
office@millersmile.com,Michael,Miller,"Miller Smile",Fort Worth,TX,+12102708616,61,limited_hours
office@fortworthdentalassociates.com,Michael,Lee,"Fort Worth Dental Associates",Fort Worth,TX,+12142617754,60,limited_hours
office@friscosmile.com,Amanda,Wilson,"Frisco Smile",Frisco,TX,+18171325845,60,call_only
office@taylordentalstudio.com,Amanda,Taylor,"Taylor Dental Studio",Plano,TX,+18178778093,60,scheduling_complaints
